#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h01 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
139;41.3373;9.1495;RCP2.6;H1;0;0;0;0.06;
281;41.4149;9.0628;RCP2.6;H1;0;0;0;0.06;
282;41.4087;9.1577;RCP2.6;H1;1.39;1;0.93;0.06;
283;41.4025;9.2527;RCP2.6;H1;0;0;0;0.06;
422;41.4985;8.8808;RCP2.6;H1;0;0;0;0.06;
423;41.4925;8.9759;RCP2.6;H1;1.4;2;1.54;0.06;
424;41.4864;9.071;RCP2.6;H1;1.4;2;1.47;0.06;
425;41.4802;9.166;RCP2.6;H1;1.4;1;0.67;0.06;
426;41.4739;9.261;RCP2.6;H1;1.39;1;1.14;0.06;
564;41.5759;8.7935;RCP2.6;H1;1.2;1;1.5;0.06;
565;41.57;8.8888;RCP2.6;H1;1.26;2;1.47;0.06;
566;41.564;8.984;RCP2.6;H1;1.33;2;1.47;0.06;
567;41.5579;9.0791;RCP2.6;H1;1.52;3;1.47;0.05;
568;41.5517;9.1743;RCP2.6;H1;1.41;1;0.53;0.06;
569;41.5454;9.2694;RCP2.6;H1;1.39;1;1.2;0.06;
707;41.6474;8.8014;RCP2.6;H1;1.17;1;1.67;0.07;
708;41.6415;8.8967;RCP2.6;H1;1.29;1;1.47;0.07;
709;41.6355;8.992;RCP2.6;H1;1.33;2;1.43;0.07;
710;41.6294;9.0873;RCP2.6;H1;1.46;1;-0.53;0.08;
711;41.6232;9.1826;RCP2.6;H1;1.47;1;-0.6;0.08;
712;41.6169;9.2779;RCP2.6;H1;1.26;1;0.16;0.07;
849;41.7248;8.7138;RCP2.6;H1;1.17;2;1.54;0.07;
850;41.719;8.8093;RCP2.6;H1;1.17;1;1.7;0.07;
851;41.713;8.9047;RCP2.6;H1;1.31;1;1.43;0.07;
852;41.707;9.0001;RCP2.6;H1;1.4;2;0.43;0.08;
853;41.7009;9.0955;RCP2.6;H1;1.46;1;-0.6;0.08;
854;41.6946;9.1909;RCP2.6;H1;1.51;1;-0.2;0.08;
855;41.6884;9.2863;RCP2.6;H1;1.39;0;0.17;0.04;
856;41.682;9.3817;RCP2.6;H1;1.25;1;-0.2;0.04;
992;41.7963;8.7216;RCP2.6;H1;0;0;0;0.07;
993;41.7905;8.8171;RCP2.6;H1;1.35;2;1.34;0.07;
994;41.7845;8.9127;RCP2.6;H1;1.34;1;1.46;0.07;
995;41.7785;9.0083;RCP2.6;H1;1.5;3;1.66;0.08;
996;41.7724;9.1038;RCP2.6;H1;1.43;3;0.03;0.1;
997;41.7661;9.1993;RCP2.6;H1;1.43;4;-0.13;0.1;
998;41.7598;9.2948;RCP2.6;H1;1.44;-1;0.04;0.05;
999;41.7535;9.3902;RCP2.6;H1;0;0;0;0.04;
1134;41.8737;8.6336;RCP2.6;H1;0;0;0;0.1;
1135;41.8679;8.7294;RCP2.6;H1;0;0;0;0.09;
1136;41.862;8.8251;RCP2.6;H1;1.26;2;2.03;0.08;
1137;41.856;8.9207;RCP2.6;H1;1.44;2;1.84;0.07;
1138;41.85;9.0164;RCP2.6;H1;1.39;2;1.94;0.1;
1139;41.8439;9.112;RCP2.6;H1;1.48;4;-0.07;0.12;
1140;41.8376;9.2077;RCP2.6;H1;1.44;2;0.47;0.1;
1141;41.8313;9.3033;RCP2.6;H1;1.42;0;-0.73;0.02;
1142;41.8249;9.3988;RCP2.6;H1;0;0;0;0.02;
1276;41.9509;8.5455;RCP2.6;H1;0;0;0;0.1;
1277;41.9452;8.6413;RCP2.6;H1;1.3;2;1.74;0.1;
1278;41.9394;8.7372;RCP2.6;H1;1.29;2;1.73;0.1;
1279;41.9335;8.833;RCP2.6;H1;1.2;1;0.94;0.1;
1280;41.9276;8.9288;RCP2.6;H1;1.37;3;2.1;0.11;
1281;41.9215;9.0246;RCP2.6;H1;1.47;2;1.77;0.09;
1282;41.9154;9.1203;RCP2.6;H1;1.48;3;0.23;0.12;
