#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h00 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORPN20MM : Nombre de jours de fortes précipitations (jour(s))
#     ATAV : Ecart de température moyenne journalière (°C)
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;NORPN20MM;ATAV;AFF98;ARRR;
139;41.3373;9.1495;RCP4.5;H1;8;0;0;0.04;
281;41.4149;9.0628;RCP4.5;H1;8;0;0;0.04;
282;41.4087;9.1577;RCP4.5;H1;9;1.1;0.8;0.04;
283;41.4025;9.2527;RCP4.5;H1;8;0;0;0.04;
422;41.4985;8.8808;RCP4.5;H1;8;0;0;0.04;
423;41.4925;8.9759;RCP4.5;H1;9;1.08;0.07;0.04;
424;41.4864;9.071;RCP4.5;H1;9;1.08;-0.03;0.04;
425;41.4802;9.166;RCP4.5;H1;10;1.1;0.94;0.04;
426;41.4739;9.261;RCP4.5;H1;9;1.1;0.87;0.04;
564;41.5759;8.7935;RCP4.5;H1;8;0.93;-0.1;0.05;
565;41.57;8.8888;RCP4.5;H1;9;0.97;-0.4;0.05;
566;41.564;8.984;RCP4.5;H1;10;1.02;-0.26;0.05;
567;41.5579;9.0791;RCP4.5;H1;15;1.16;-0.13;0.05;
568;41.5517;9.1743;RCP4.5;H1;10;1.11;0.83;0.04;
569;41.5454;9.2694;RCP4.5;H1;9;1.1;1.1;0.04;
707;41.6474;8.8014;RCP4.5;H1;8;0.91;-0.06;0.08;
708;41.6415;8.8967;RCP4.5;H1;10;1.01;0.37;0.07;
709;41.6355;8.992;RCP4.5;H1;11;1.04;0.07;0.07;
710;41.6294;9.0873;RCP4.5;H1;14;1.17;0.1;0.06;
711;41.6232;9.1826;RCP4.5;H1;14;1.18;0.03;0.06;
712;41.6169;9.2779;RCP4.5;H1;10;1.01;0.23;0.05;
849;41.7248;8.7138;RCP4.5;H1;8;0.91;-0.1;0.08;
850;41.719;8.8093;RCP4.5;H1;8;0.91;0;0.08;
851;41.713;8.9047;RCP4.5;H1;10;1.02;-0.47;0.08;
852;41.707;9.0001;RCP4.5;H1;13;1.11;-0.6;0.08;
853;41.7009;9.0955;RCP4.5;H1;14;1.17;0.04;0.06;
854;41.6946;9.1909;RCP4.5;H1;16;1.21;0.27;0.05;
855;41.6884;9.2863;RCP4.5;H1;12;1.14;0.84;0.02;
856;41.682;9.3817;RCP4.5;H1;9;1.03;-0.47;0.02;
992;41.7963;8.7216;RCP4.5;H1;8;0;0;0.08;
993;41.7905;8.8171;RCP4.5;H1;11;1.04;-0.43;0.08;
994;41.7845;8.9127;RCP4.5;H1;11;1.03;-0.34;0.07;
995;41.7785;9.0083;RCP4.5;H1;17;1.18;0.1;0.07;
996;41.7724;9.1038;RCP4.5;H1;21;1.17;0.33;0.07;
997;41.7661;9.1993;RCP4.5;H1;22;1.17;0.04;0.07;
998;41.7598;9.2948;RCP4.5;H1;16;1.18;0.54;0.03;
999;41.7535;9.3902;RCP4.5;H1;10;0;0;0.02;
1134;41.8737;8.6336;RCP4.5;H1;9;0;0;0.09;
1135;41.8679;8.7294;RCP4.5;H1;9;0;0;0.1;
1136;41.862;8.8251;RCP4.5;H1;10;0.99;-0.5;0.09;
1137;41.856;8.9207;RCP4.5;H1;15;1.11;-0.33;0.08;
1138;41.85;9.0164;RCP4.5;H1;15;1.11;0.54;0.08;
1139;41.8439;9.112;RCP4.5;H1;24;1.23;-0.7;0.07;
1140;41.8376;9.2077;RCP4.5;H1;25;1.19;-0.86;0.06;
1141;41.8313;9.3033;RCP4.5;H1;12;1.16;-0.03;0.02;
1142;41.8249;9.3988;RCP4.5;H1;11;0;0;0.01;
1276;41.9509;8.5455;RCP4.5;H1;9;0;0;0.09;
1277;41.9452;8.6413;RCP4.5;H1;10;0.99;0.04;0.09;
1278;41.9394;8.7372;RCP4.5;H1;10;0.99;0.1;0.09;
