NORTAV : 🌡️ Températures | Valeurs
NORTNAV : 🌡️ Températures | Valeurs
NORTXAV : 🌡️ Températures | Valeurs
NORTRAV : 🌡️ Températures | Valeurs
NORTXQ90 : 🌡️ Températures | Valeurs
NORTXQ10 : 🌡️ Températures | Valeurs
NORTNQ90 : 🌡️ Températures | Valeurs
NORTNQ10 : 🌡️ Températures | Valeurs
NORHDD : 🌡️ Températures | Valeurs
NORCDD : 🌡️ Températures | Valeurs

ATAV : 🌡️ Températures | Ecarts
ATNAV : 🌡️ Températures | Ecarts
ATXAV : 🌡️ Températures | Ecarts
ATRAV : 🌡️ Températures | Ecarts
ATXQ90 : 🌡️ Températures | Ecarts
ATXQ10 : 🌡️ Températures | Ecarts
ATNQ90 : 🌡️ Températures | Ecarts
ATNQ10 : 🌡️ Températures | Ecarts
AHDD : 🌡️ Températures | Ecarts
ACDD : 🌡️ Températures | Ecarts

NORSD : 🌡️ Températures | Nombre de jours
NORTX35 : 🌡️ Températures | Nombre de jours
NORTXHWD : 🌡️ Températures | Nombre de jours
NORTXND : 🌡️ Températures | Nombre de jours
NORTNHT : 🌡️ Températures | Nombre de jours
NORTR : 🌡️ Températures | Nombre de jours
NORTNFD : 🌡️ Températures | Nombre de jours
NORTXFD : 🌡️ Températures | Nombre de jours
NORTNND : 🌡️ Températures | Nombre de jours
NORTNCWD : 🌡️ Températures | Nombre de jours

ASD : 🌡️ Températures | Ecarts de jours
ATX35 : 🌡️ Températures | Ecarts de jours
ATXHWD : 🌡️ Températures | Ecarts de jours
ATXND : 🌡️ Températures | Ecarts de jours
ATNHT : 🌡️ Températures | Ecarts de jours
ATR : 🌡️ Températures | Ecarts de jours
ATNFD : 🌡️ Températures | Ecarts de jours
ATXFD : 🌡️ Températures | Ecarts de jours
ATNND : 🌡️ Températures | Ecarts de jours
ATNCWD : 🌡️ Températures | Ecarts de jours

NORPAV : 💧 Précipitations | Valeurs
NORPQ90 : 💧 Précipitations | Valeurs
NORPQ99 : 💧 Précipitations | Valeurs
NORRR : 💧 Précipitations | Valeurs
NORPINT : 💧 Précipitations | Valeurs
NORPFL90 : 💧 Précipitations | Valeurs
NORTPSPI : 💧 Précipitations | Valeurs

APAV : 💧 Précipitations | Ecarts
APQ90 : 💧 Précipitations | Ecarts
APQ99 : 💧 Précipitations | Ecarts
ARR : 💧 Précipitations | Ecarts
APINT : 💧 Précipitations | Ecarts
APFL90 : 💧 Précipitations | Ecarts
ARPAV : 💧 Précipitations | Ecarts
ARPINT : 💧 Précipitations | Ecarts
ARRR : 💧 Précipitations | Ecarts
ARPQ90 : 💧 Précipitations | Ecarts
ARPQ99 : 💧 Précipitations | Ecarts

NORRR1MM : 💧 Précipitations | Nombre de jours
NORPN20MM : 💧 Précipitations | Nombre de jours
NORRR99 : 💧 Précipitations | Nombre de jours
NORPXCWD : 💧 Précipitations | Nombre de jours
NORPXCDD : 💧 Précipitations | Nombre de jours

ARR1MM : 💧 Précipitations | Ecarts de jours
APN20MM : 💧 Précipitations | Ecarts de jours
ARR99 : 💧 Précipitations | Ecarts de jours
APXCWD : 💧 Précipitations | Ecarts de jours
APXCDD : 💧 Précipitations | Ecarts de jours

NORHUSAV : ☁️ Humidité | Valeurs
AHUSAV : ☁️ Humidité | Ecarts

NORFFQ98 : 🌬️ Vent | Valeurs
AFFQ98 : 🌬️ Vent | Ecarts
AFFAV : 🌬️ Vent | Ecarts
NORFF98 : 🌬️ Vent | Nombre de jours
AFF98 : 🌬️ Vent | Ecarts de jours
AFF3 : 🌬️ Vent | Ecarts de jours

NORETPC : ☀️ Évapo-Transpiration | Valeurs
AETPC : ☀️ Évapo-Transpiration | Ecarts
ARETPC : ☀️ Évapo-Transpiration | Ecarts
