#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 18h56 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
139;41.3373;9.1495;RCP8.5;H1;0;0;0;0.08;
281;41.4149;9.0628;RCP8.5;H1;0;0;0;0.08;
282;41.4087;9.1577;RCP8.5;H1;1.36;1;0.9;0.08;
283;41.4025;9.2527;RCP8.5;H1;0;0;0;0.08;
422;41.4985;8.8808;RCP8.5;H1;0;0;0;0.08;
423;41.4925;8.9759;RCP8.5;H1;1.36;2;1;0.08;
424;41.4864;9.071;RCP8.5;H1;1.36;2;0.8;0.08;
425;41.4802;9.166;RCP8.5;H1;1.37;2;0.54;0.08;
426;41.4739;9.261;RCP8.5;H1;1.36;2;0.84;0.08;
564;41.5759;8.7935;RCP8.5;H1;1.16;1;0.37;0.08;
565;41.57;8.8888;RCP8.5;H1;1.22;2;0.67;0.07;
566;41.564;8.984;RCP8.5;H1;1.28;2;0.67;0.07;
567;41.5579;9.0791;RCP8.5;H1;1.47;2;0.94;0.06;
568;41.5517;9.1743;RCP8.5;H1;1.38;2;0.8;0.08;
569;41.5454;9.2694;RCP8.5;H1;1.36;2;0.9;0.08;
707;41.6474;8.8014;RCP8.5;H1;1.11;2;0.07;0.13;
708;41.6415;8.8967;RCP8.5;H1;1.25;2;0.8;0.1;
709;41.6355;8.992;RCP8.5;H1;1.28;3;0.87;0.1;
710;41.6294;9.0873;RCP8.5;H1;1.43;1;-0.2;0.09;
711;41.6232;9.1826;RCP8.5;H1;1.44;1;-0.14;0.09;
712;41.6169;9.2779;RCP8.5;H1;1.24;2;0.66;0.11;
849;41.7248;8.7138;RCP8.5;H1;1.11;3;0.04;0.13;
850;41.719;8.8093;RCP8.5;H1;1.11;2;0.1;0.13;
851;41.713;8.9047;RCP8.5;H1;1.25;3;-0.3;0.13;
852;41.707;9.0001;RCP8.5;H1;1.35;2;0;0.11;
853;41.7009;9.0955;RCP8.5;H1;1.43;1;-0.2;0.09;
854;41.6946;9.1909;RCP8.5;H1;1.49;1;0.17;0.08;
855;41.6884;9.2863;RCP8.5;H1;1.38;1;0.27;0.08;
856;41.682;9.3817;RCP8.5;H1;1.24;2;-0.3;0.09;
992;41.7963;8.7216;RCP8.5;H1;0;0;0;0.13;
993;41.7905;8.8171;RCP8.5;H1;1.28;3;-0.2;0.13;
994;41.7845;8.9127;RCP8.5;H1;1.27;2;-0.07;0.11;
995;41.7785;9.0083;RCP8.5;H1;1.45;3;0.36;0.1;
996;41.7724;9.1038;RCP8.5;H1;1.45;3;0.53;0.11;
997;41.7661;9.1993;RCP8.5;H1;1.45;4;0.1;0.11;
998;41.7598;9.2948;RCP8.5;H1;1.42;0;0.17;0.07;
999;41.7535;9.3902;RCP8.5;H1;0;0;0;0.09;
1134;41.8737;8.6336;RCP8.5;H1;0;0;0;0.17;
1135;41.8679;8.7294;RCP8.5;H1;0;0;0;0.13;
1136;41.862;8.8251;RCP8.5;H1;1.21;3;0.06;0.13;
1137;41.856;8.9207;RCP8.5;H1;1.38;3;0.27;0.11;
1138;41.85;9.0164;RCP8.5;H1;1.36;2;1.07;0.11;
1139;41.8439;9.112;RCP8.5;H1;1.52;2;-0.1;0.11;
1140;41.8376;9.2077;RCP8.5;H1;1.48;1;0.3;0.08;
1141;41.8313;9.3033;RCP8.5;H1;1.41;1;-0.17;0.07;
1142;41.8249;9.3988;RCP8.5;H1;0;0;0;0.09;
1276;41.9509;8.5455;RCP8.5;H1;0;0;0;0.17;
1277;41.9452;8.6413;RCP8.5;H1;1.25;3;0.64;0.16;
1278;41.9394;8.7372;RCP8.5;H1;1.24;3;0.53;0.16;
1279;41.9335;8.833;RCP8.5;H1;1.13;3;-0.4;0.16;
1280;41.9276;8.9288;RCP8.5;H1;1.32;3;0.77;0.13;
1281;41.9215;9.0246;RCP8.5;H1;1.45;3;0.9;0.1;
1282;41.9154;9.1203;RCP8.5;H1;1.52;3;0.43;0.12;
1283;41.9091;9.216;RCP8.5;H1;1.45;2;0.24;0.13;
1284;41.9028;9.3118;RCP8.5;H1;1.34;1;-0.07;0.09;
1285;41.8964;9.4075;RCP8.5;H1;0;0;0;0.09;
1420;42.0168;8.649;RCP8.5;H1;0;0;0;0.17;
1421;42.011;8.745;RCP8.5;H1;1.31;3;0.34;0.16;
1422;42.0051;8.8409;RCP8.5;H1;1.24;3;0.07;0.16;
1423;41.9991;8.9368;RCP8.5;H1;1.41;4;0.37;0.11;
1424;41.993;9.0327;RCP8.5;H1;1.45;3;0.1;0.1;
1425;41.9869;9.1286;RCP8.5;H1;1.5;2;0;0.1;
1426;41.9806;9.2245;RCP8.5;H1;1.46;3;0.26;0.13;
1427;41.9743;9.3203;RCP8.5;H1;1.32;1;0.34;0.08;
1428;41.9679;9.4161;RCP8.5;H1;0;0;0;0.09;
1562;42.0941;8.5607;RCP8.5;H1;0;0;0;0.19;
1563;42.0883;8.6568;RCP8.5;H1;1.12;4;-0.5;0.19;
1564;42.0825;8.7528;RCP8.5;H1;1.14;3;-0.47;0.15;
1565;42.0766;8.8489;RCP8.5;H1;1.34;3;-0.13;0.12;
1566;42.0706;8.9449;RCP8.5;H1;1.39;2;0.33;0.12;
1567;42.0646;9.0409;RCP8.5;H1;1.44;3;0.47;0.12;
