#-----------------------------------------------------------------------------
# Date d'extraction : 26/12/2025 - 16h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATXHWD : Ecart de nombre de jours d'une vague de chaleur (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATXHWD;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATXHWD;
139;41.3373;9.1495;RCP8.5;H1;0;
281;41.4149;9.0628;RCP8.5;H1;0;
282;41.4087;9.1577;RCP8.5;H1;6;
283;41.4025;9.2527;RCP8.5;H1;0;
422;41.4985;8.8808;RCP8.5;H1;0;
423;41.4925;8.9759;RCP8.5;H1;7;
424;41.4864;9.071;RCP8.5;H1;7;
425;41.4802;9.166;RCP8.5;H1;6;
426;41.4739;9.261;RCP8.5;H1;5;
564;41.5759;8.7935;RCP8.5;H1;3;
565;41.57;8.8888;RCP8.5;H1;4;
566;41.564;8.984;RCP8.5;H1;6;
567;41.5579;9.0791;RCP8.5;H1;11;
568;41.5517;9.1743;RCP8.5;H1;7;
569;41.5454;9.2694;RCP8.5;H1;6;
707;41.6474;8.8014;RCP8.5;H1;2;
708;41.6415;8.8967;RCP8.5;H1;7;
709;41.6355;8.992;RCP8.5;H1;7;
710;41.6294;9.0873;RCP8.5;H1;12;
711;41.6232;9.1826;RCP8.5;H1;12;
712;41.6169;9.2779;RCP8.5;H1;7;
849;41.7248;8.7138;RCP8.5;H1;2;
850;41.719;8.8093;RCP8.5;H1;2;
851;41.713;8.9047;RCP8.5;H1;4;
852;41.707;9.0001;RCP8.5;H1;11;
853;41.7009;9.0955;RCP8.5;H1;12;
854;41.6946;9.1909;RCP8.5;H1;14;
855;41.6884;9.2863;RCP8.5;H1;9;
856;41.682;9.3817;RCP8.5;H1;4;
992;41.7963;8.7216;RCP8.5;H1;0;
993;41.7905;8.8171;RCP8.5;H1;7;
994;41.7845;8.9127;RCP8.5;H1;7;
995;41.7785;9.0083;RCP8.5;H1;12;
996;41.7724;9.1038;RCP8.5;H1;15;
997;41.7661;9.1993;RCP8.5;H1;15;
998;41.7598;9.2948;RCP8.5;H1;9;
